Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
127,Kwadwo Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,38,2.18,32,1,2,1,2,0,4,0.23,3,0,1,0,0,0,Matches
128,Takuma Asano,jp JPN,"FW,MF",Stuttgart,de Bundesliga,22,1994,8.0,21,2.61,19,0,1,1,0,0,1,0.12,1,0,0,0,0,0,Matches
129,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,32,1.21,21,0,1,2,5,3,2,0.08,1,0,0,1,0,0,Matches
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,2,0.09,1,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
131,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,21,1996,20.5,107,5.22,87,10,4,3,2,1,11,0.54,11,0,0,0,0,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,136,4.17,100,7,14,4,9,2,19,0.58,12,0,6,1,0,0,Matches
133,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,14,1.20,9,3,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
134,Simon Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Davide Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,30,1.20,28,0,1,1,0,0,1,0.04,1,0,0,0,0,0,Matches
136,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,25,1992,19.8,54,2.72,38,1,8,1,5,1,6,0.30,3,0,1,1,1,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,30,2.55,21,0,4,4,1,0,8,0.68,5,0,1,1,1,0,Matches
138,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,37,2.35,26,0,3,6,1,1,10,0.64,4,0,2,3,1,0,Matches
139,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,39,2.77,22,0,7,5,5,0,9,0.64,7,0,0,1,1,0,Matches
140,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,de Bundesliga,23,1994,28.1,64,2.27,46,11,0,6,1,0,3,0.11,2,0,0,1,0,0,Matches
141,Yann Aurel Bisseck,de GER,"DF,MF",Köln,de Bundesliga,16,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,38,2.39,29,1,2,5,1,0,4,0.25,1,0,1,1,1,0,Matches
143,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,23,1.99,15,0,2,5,1,0,1,0.09,0,0,0,1,0,0,Matches
144,Danilo Avelar,br BRA,DF,Amiens,fr Ligue 1,28,1989,19.2,33,1.72,27,3,0,0,2,1,3,0.16,3,0,0,0,0,0,Matches
