,Player,Squad,Pos,GCA90,SCA90
398,Arvid Brorsson,Monza,DF,0.0,0.25
399,Moritz Broschinski,Bochum,"FW,MF",0.26,2.33
400,Nathaniel Brown,Eint Frankfurt,"DF,MF",0.51,2.96
401,Jacob Bruun Larsen,Hoffenheim,"FW,MF",0.9,4.29
402,Jacob Bruun Larsen,Stuttgart,"MF,FW",0.0,4.12
403,Tajon Buchanan,Inter,"DF,FW",0.0,2.84
404,Tajon Buchanan,Villarreal,MF,0.43,2.8
405,Ante Budimir,Osasuna,FW,0.43,1.4
406,Emi Buendía,Aston Villa,"MF,FW",0.0,2.76
407,Emi Buendía,Leverkusen,MF,0.35,4.17
408,Manu Bueno,Sevilla,"MF,FW",0.0,0.64
409,Santiago Bueno,Wolves,DF,0.21,0.64
410,Endika Buján,Athletic Club,FW,0.0,0.0
411,Marius Bülter,Hoffenheim,"FW,DF",0.36,2.5
412,Facundo Buonanotte,Leicester City,"FW,MF",0.3,3.01
413,Alessandro Buongiorno,Napoli,DF,0.09,0.89
414,Cameron Burgess,Ipswich Town,DF,0.18,0.82
415,Jonathan Burkardt,Mainz 05,FW,0.34,2.31
416,Oliver Burke,Werder Bremen,FW,0.2,3.27
417,Dan Burn,Newcastle Utd,DF,0.11,0.73
418,Rareș-Cătălin Burnete,Lecce,FW,0.0,0.0
419,Wes Burns,Ipswich Town,"FW,DF",0.1,1.55
420,Marnon Busch,Heidenheim,"DF,MF",0.06,1.74
421,Gianluca Busio,Venezia,MF,0.07,2.33
422,Aurélio Buta,Reims,DF,0.18,1.42
423,Jean Butez,Como,GK,0.0,0.27
424,Nathan Butler-Oyedeji,Arsenal,FW,0.0,0.0
425,Marcin Bułka,Nice,GK,0.03,0.09
426,Pau Cabanes,Villarreal,"MF,FW",1.1,6.63
427,Pau Cabanes,Alavés,"MF,FW",0.0,2.87
428,Rémy Cabella,Lille,"FW,MF",0.53,5.33
429,Leandro Cabrera,Espanyol,DF,0.22,0.66
430,Liberato Cacace,Empoli,"MF,DF",0.16,2.18
431,Alessio Cacciamani,Torino,"MF,DF",0.0,2.9
432,Anthony Caci,Mainz 05,DF,0.37,3.18
433,Mathieu Cafaro,Saint-Étienne,"MF,FW",0.25,3.07
434,Moisés Caicedo,Chelsea,"MF,DF",0.24,2.63
435,Tom Cairney,Fulham,MF,0.43,4.71
436,Jens Cajuste,Ipswich Town,MF,0.09,1.65
437,Davide Calabria,Bologna,DF,0.43,3.42
438,Davide Calabria,Milan,DF,0.0,2.56
439,Riccardo Calafiori,Arsenal,DF,0.18,1.19
440,Luca Caldirola,Monza,DF,0.0,0.51
441,Fernando Calero,Espanyol,"DF,MF",0.0,0.76
