,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
210,203,Antonio Barreca,it ITA,"DF,FW",Genoa,it Serie A,24,1995,18,11,1095,12.2,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,33,25,58,0.00,0.08,0.08,0.00,0.08,0.02,0.05,0.07,0.02,0.07,Matches
211,204,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,19,2000,18,11,938,10.4,0,2,2,0,0,0,4,0,0.4,0.4,0.3,0.7,6,41,13,0.00,0.19,0.19,0.00,0.19,0.04,0.03,0.07,0.04,0.07,Matches
212,205,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,17,2001,17,3,442,4.9,1,0,1,1,0,0,1,0,0.9,0.9,0.5,1.4,28,20,65,0.20,0.00,0.20,0.20,0.20,0.18,0.10,0.29,0.18,0.29,Matches
213,206,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,35,1984,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
214,207,Musa Barrow,gm GAM,"FW,MF",Bologna,it Serie A,20,1998,18,14,1354,15.0,9,2,11,8,1,1,1,0,5.3,4.5,3.1,7.6,59,62,96,0.60,0.13,0.73,0.53,0.66,0.35,0.20,0.56,0.30,0.50,Matches
215,208,Musa Barrow,gm GAM,"FW,MF",Atalanta,it Serie A,20,1998,7,1,190,2.1,0,2,2,0,0,1,0,0,2.4,1.6,1.0,2.6,6,7,35,0.00,0.95,0.95,0.00,0.95,1.15,0.46,1.61,0.77,1.24,Matches
216,209,Fin Bartels,de GER,"MF,FW",Werder Bremen,de Bundesliga,32,1987,14,1,340,3.8,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,9,20,32,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches
217,210,Marc Bartra,es ESP,"DF,MF",Betis,es La Liga,28,1991,30,29,2524,28.0,3,1,4,3,0,0,8,0,2.5,2.5,2.0,4.5,11,90,11,0.11,0.04,0.14,0.11,0.14,0.09,0.07,0.16,0.09,0.16,Matches
218,211,Daniele Baselli,it ITA,MF,Torino,it Serie A,27,1992,16,16,1278,14.2,0,2,2,0,0,0,3,0,0.7,0.7,0.9,1.6,20,72,14,0.00,0.14,0.14,0.00,0.14,0.05,0.06,0.11,0.05,0.11,Matches
219,212,Chris Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31,1988,38,38,3242,36.0,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,32,82,70,0.00,0.03,0.03,0.00,0.03,0.01,0.04,0.04,0.01,0.04,Matches
